mean,mean,sum,sum,count,count
F,M,F,M,F,M
3.375,2.761904761904762,54.0,58.0,16.0,21.0
3.388888888888889,3.3529411764705883,122.0,114.0,36.0,34.0
2.675675675675676,2.7333333333333334,99.0,41.0,37.0,15.0
2.7934782608695654,2.962085308056872,257.0,625.0,92.0,211.0
3.8285714285714287,3.6890243902439024,134.0,605.0,35.0,164.0
2.0,3.0,2.0,3.0,1.0,1.0
3.646551724137931,3.3119658119658117,846.0,1550.0,232.0,468.0
3.7914438502673797,3.5,709.0,1323.0,187.0,378.0
3.24,2.911214953271028,486.0,623.0,150.0,214.0
4.184397163120567,4.328421052631579,590.0,2056.0,141.0,475.0
3.112,3.168,389.0,1980.0,125.0,625.0
2.4285714285714284,2.7916666666666665,17.0,134.0,7.0,48.0
3.488888888888889,3.2448132780082988,157.0,782.0,45.0,241.0
2.6206896551724137,2.918181818181818,76.0,321.0,29.0,110.0
3.670103092783505,3.709205020920502,356.0,1773.0,97.0,478.0
3.1690140845070425,2.7,225.0,297.0,71.0,110.0
3.8255813953488373,4.129737609329446,1316.0,5666.0,344.0,1372.0
3.4468085106382977,3.41371158392435,162.0,1444.0,47.0,423.0
5.0,3.75,5.0,15.0,1.0,4.0
2.0,1.6,8.0,8.0,4.0,5.0
3.2094240837696337,2.977707006369427,613.0,935.0,191.0,314.0
1.4,1.3513513513513513,14.0,50.0,10.0,37.0
,2.75,,11.0,,4.0
3.0,2.857142857142857,6.0,20.0,2.0,7.0
3.9655172413793105,4.107692307692307,230.0,801.0,58.0,195.0
4.48936170212766,4.264285714285714,211.0,597.0,47.0,140.0
3.966666666666667,4.362068965517241,119.0,253.0,30.0,58.0
3.3043478260869565,3.299145299145299,76.0,386.0,23.0,117.0
2.7017543859649122,2.782178217821782,154.0,562.0,57.0,202.0
3.409090909090909,3.6588785046728973,150.0,783.0,44.0,214.0
4.096153846153846,4.107954545454546,213.0,723.0,52.0,176.0
2.857142857142857,2.4047619047619047,20.0,101.0,7.0,42.0
2.310344827586207,2.3189655172413794,67.0,269.0,29.0,116.0
3.269230769230769,3.347826086956522,85.0,154.0,26.0,46.0
2.90625,2.8509615384615383,186.0,593.0,64.0,208.0
3.4285714285714284,3.6470588235294117,24.0,62.0,7.0,17.0
3.3658536585365852,3.4606060606060605,138.0,571.0,41.0,165.0
2.0,2.75,2.0,22.0,1.0,8.0
3.5,2.8333333333333335,28.0,34.0,8.0,12.0
3.188679245283019,3.140909090909091,338.0,691.0,106.0,220.0
3.1666666666666665,3.0,19.0,129.0,6.0,43.0
3.4693877551020407,3.4468085106382977,340.0,972.0,98.0,282.0
3.4691358024691357,3.3277591973244145,281.0,995.0,81.0,299.0
3.659235668789809,3.689507494646681,1149.0,5169.0,314.0,1401.0
3.0,3.1979166666666665,570.0,1842.0,190.0,576.0
2.269662921348315,2.5433333333333334,202.0,763.0,89.0,300.0
1.0909090909090908,1.6929824561403508,12.0,193.0,11.0,114.0
4.0,2.2,8.0,11.0,2.0,5.0
4.333333333333333,3.0,13.0,15.0,3.0,5.0
2.263157894736842,2.253012048192771,43.0,374.0,19.0,166.0
3.0,3.3333333333333335,3.0,20.0,1.0,6.0
3.0,2.878531073446328,327.0,1019.0,109.0,354.0
3.1861702127659575,3.1634980988593155,599.0,1664.0,188.0,526.0
3.0476190476190474,3.1578947368421053,384.0,360.0,126.0,114.0
2.9523809523809526,3.0208333333333335,62.0,145.0,21.0,48.0
2.0,1.5,2.0,15.0,1.0,10.0
3.45578231292517,3.2081218274111674,508.0,1264.0,147.0,394.0
3.3085106382978724,3.402321083172147,311.0,1759.0,94.0,517.0
2.8333333333333335,1.9047619047619047,34.0,40.0,12.0,21.0
3.5238095238095237,3.2718446601941746,222.0,337.0,63.0,103.0
3.0,2.8684210526315788,48.0,109.0,16.0,38.0
3.989071038251366,3.6888111888111887,730.0,1055.0,183.0,286.0
4.166666666666667,3.9183673469387754,350.0,1152.0,84.0,294.0
2.4318181818181817,2.5123456790123457,107.0,407.0,44.0,162.0
3.642857142857143,3.4210526315789473,51.0,65.0,14.0,19.0
3.8421052631578947,3.5,73.0,70.0,19.0,20.0
4.1415929203539825,3.6710526315789473,468.0,279.0,113.0,76.0
3.5344827586206895,3.642857142857143,205.0,510.0,58.0,140.0
4.324232081911263,4.223821989528796,1267.0,3227.0,293.0,764.0
4.4,4.012195121951219,88.0,329.0,20.0,82.0
3.125,3.0952380952380953,125.0,130.0,40.0,42.0
3.3636363636363638,3.191011235955056,148.0,284.0,44.0,89.0
3.827067669172932,3.3395061728395063,509.0,541.0,133.0,162.0
3.5714285714285716,2.923076923076923,75.0,38.0,21.0,13.0
3.5348837209302326,3.2448979591836733,456.0,477.0,129.0,147.0
3.5555555555555554,3.727272727272727,32.0,41.0,9.0,11.0
3.0,,3.0,,1.0,
2.823529411764706,2.7411764705882353,144.0,699.0,51.0,255.0
3.057142857142857,2.2337662337662336,107.0,172.0,35.0,77.0
2.8333333333333335,1.8627450980392157,51.0,95.0,18.0,51.0
3.6995884773662553,3.5558223289315727,899.0,2962.0,243.0,833.0
3.1363636363636362,2.5,69.0,170.0,22.0,68.0
2.450980392156863,2.551546391752577,125.0,495.0,51.0,194.0
2.90625,2.9956709956709955,279.0,1384.0,96.0,462.0
3.6565656565656566,4.064419475655431,1448.0,5426.0,396.0,1335.0
2.2857142857142856,2.3692307692307693,32.0,154.0,14.0,65.0
3.2972972972972974,3.1056338028169015,122.0,441.0,37.0,142.0
2.8947368421052633,2.5538461538461537,55.0,166.0,19.0,65.0
3.511111111111111,3.98034398034398,158.0,1620.0,45.0,407.0
3.857142857142857,3.7564935064935066,1647.0,3471.0,427.0,924.0
2.763888888888889,2.9635036496350367,199.0,406.0,72.0,137.0
1.0,2.0625,1.0,33.0,1.0,16.0
,2.625,,21.0,,8.0
3.5238095238095237,3.272727272727273,74.0,72.0,21.0,22.0
2.8823529411764706,2.844155844155844,49.0,219.0,17.0,77.0
4.0,3.5555555555555554,28.0,32.0,7.0,9.0
2.6,3.111111111111111,13.0,28.0,5.0,9.0
3.7058823529411766,3.6923076923076925,693.0,1248.0,187.0,338.0
3.8882521489971347,4.216119402985075,1357.0,7062.0,349.0,1675.0
1.0,2.7222222222222223,2.0,49.0,2.0,18.0
3.433333333333333,3.195945945945946,206.0,1419.0,60.0,444.0
2.70873786407767,2.997041420118343,279.0,2026.0,103.0,676.0
3.8020833333333335,4.18668407310705,1095.0,6414.0,288.0,1532.0
3.0082644628099175,3.04228855721393,364.0,2446.0,121.0,804.0
3.4693877551020407,3.376865671641791,340.0,905.0,98.0,268.0
4.3630573248407645,4.186991869918699,685.0,1030.0,157.0,246.0
4.333333333333333,3.944,624.0,986.0,144.0,250.0
2.8552631578947367,2.8776978417266186,217.0,400.0,76.0,139.0
2.4,1.92,60.0,96.0,25.0,50.0
3.9166666666666665,3.3333333333333335,47.0,30.0,12.0,9.0
3.9574468085106385,4.244343891402715,186.0,938.0,47.0,221.0
4.061855670103093,3.7181818181818183,394.0,818.0,97.0,220.0
,3.3333333333333335,,10.0,,3.0
4.166666666666667,4.0,100.0,380.0,24.0,95.0
3.0,3.3636363636363638,3.0,37.0,1.0,11.0
3.3,2.8823529411764706,33.0,49.0,10.0,17.0
1.8636363636363635,2.0869565217391304,41.0,240.0,22.0,115.0
4.0,,4.0,,1.0,
1.9166666666666667,2.2624113475177303,23.0,319.0,12.0,141.0
3.0,1.6666666666666667,3.0,10.0,1.0,6.0
4.2202166064981945,4.228730822873082,1169.0,3032.0,277.0,717.0
2.0,2.5918367346938775,22.0,127.0,11.0,49.0
3.2857142857142856,3.3684210526315788,23.0,192.0,7.0,57.0
2.5,3.3846153846153846,5.0,88.0,2.0,26.0
4.346733668341709,4.213414634146342,1730.0,4146.0,398.0,984.0
3.8461538461538463,3.764705882352941,50.0,128.0,13.0,34.0
3.6,2.0,36.0,16.0,10.0,8.0
4.238900634249472,4.347300564061241,4010.0,10790.0,946.0,2482.0
2.857142857142857,3.260869565217391,40.0,150.0,14.0,46.0
3.75,3.7142857142857144,30.0,104.0,8.0,28.0
3.611111111111111,3.2658227848101267,65.0,258.0,18.0,79.0
3.3375,3.1069767441860465,267.0,668.0,80.0,215.0
3.9404761904761907,4.055555555555555,993.0,2993.0,252.0,738.0
4.181818181818182,4.2407407407407405,644.0,2061.0,154.0,486.0
4.028985507246377,4.008849557522124,278.0,906.0,69.0,226.0
3.5397923875432524,3.7545454545454544,1023.0,4130.0,289.0,1100.0
2.5555555555555554,3.4423076923076925,23.0,179.0,9.0,52.0
3.2,3.051546391752577,48.0,296.0,15.0,97.0
3.9234828496042216,3.7186544342507646,1487.0,2432.0,379.0,654.0
3.0852713178294575,3.2534930139720557,398.0,1630.0,129.0,501.0
,2.0,,8.0,,4.0
3.6492537313432836,3.3185185185185184,489.0,896.0,134.0,270.0
2.904109589041096,2.7890625,212.0,357.0,73.0,128.0
3.548076923076923,3.8,369.0,1691.0,104.0,445.0
2.814814814814815,2.7393364928909953,152.0,578.0,54.0,211.0
3.931972789115646,3.7908163265306123,578.0,743.0,147.0,196.0
3.6704545454545454,3.7338403041825097,323.0,982.0,88.0,263.0
1.8,1.7037037037037037,9.0,46.0,5.0,27.0
1.375,1.3714285714285714,11.0,48.0,8.0,35.0
1.6666666666666667,1.894736842105263,10.0,36.0,6.0,19.0
2.9078947368421053,2.946236559139785,221.0,822.0,76.0,279.0
1.5555555555555556,2.2127659574468086,14.0,104.0,9.0,47.0
2.0,1.5789473684210527,8.0,30.0,4.0,19.0
2.0,1.5625,12.0,25.0,6.0,16.0
4.666666666666667,3.3333333333333335,14.0,20.0,3.0,6.0
2.6315789473684212,2.806451612903226,50.0,174.0,19.0,62.0
,3.0,,3.0,,1.0
2.0,2.248447204968944,154.0,724.0,77.0,322.0
3.3392857142857144,3.4151785714285716,561.0,1530.0,168.0,448.0
3.8,3.281609195402299,494.0,571.0,130.0,174.0
3.0,2.5714285714285716,9.0,18.0,3.0,7.0
4.3061224489795915,4.206666666666667,211.0,631.0,49.0,150.0
3.702127659574468,3.5714285714285716,174.0,200.0,47.0,56.0
2.3333333333333335,2.392857142857143,28.0,67.0,12.0,28.0
3.5555555555555554,3.3157894736842106,32.0,63.0,9.0,19.0
4.325581395348837,4.093150684931507,372.0,1494.0,86.0,365.0
4.137254901960785,3.841666666666667,211.0,461.0,51.0,120.0
4.0,3.1666666666666665,8.0,57.0,2.0,18.0
3.1666666666666665,2.806451612903226,76.0,87.0,24.0,31.0
